Name,Age,Hometown,Occupation,Season,Elimination,AgeDiff
Anna Heinrich,26,"Goulburn, New South Wales",Lawyer,1,14,4.0
Rochelle Emmanuel-Smith,27,"Perth, Western Australia",Model,1,13,3.0
Ali Oetjen,27,"Adelaide, South Australia",Real Estate Agent,1,12,3.0
Danielle Sanby,24,Melbourne,Events Coordinator,1,11,6.0
Katherine Schmidhofer,33,Sydney,Child Psychologist,1,10,3.0
Natalie Sady,34,Melbourne,Model,1,9,4.0
Sarah Amey,22,"Gold Coast, Queensland",Florist,1,9,8.0
Penny Palman,35,Melbourne,Fitness Instructor,1,8,5.0
Emily See-Winder,30,Sydney,Brand Strategist,1,7,0.0
Belle,29,Melbourne,Finance Manager,1,6,1.0
Ashlee Crabbe,25,"Perth, Western Australia",PR Consultant,1,6,5.0
Alana Gray,29,Melbourne,Flight Attendant,1,6,1.0
Laura Clemesha,24,Sydney,Customer Relations,1,5,6.0
Stacey Lindall,28,Melbourne,Flight Attendant,1,5,2.0
Bianca Martin,31,Melbourne,Fitness Model,1,4,1.0
Judy Kuo,28,Sydney,Doctor,1,3,2.0
Sherri Mathieson,29,"Gold Coast, Queensland",Make-Up Artist,1,3,1.0
Amy,24,Melbourne,Accountant,1,2,6.0
Elizabeth McMahon,34,"Gold Coast, Queensland",Fashion Stylist,1,2,4.0
Emma Rose,25,"Brisbane, Queensland",Events Director,1,2,5.0
Debra,32,Melbourne,Cosmetic Clinic Director,1,1,2.0
Erin,24,"Brisbane, Queensland",Emergency Nurse,1,1,6.0
Jody Heidke,33,"Gold Coast, Queensland",Pre-School Teacher,1,1,3.0
Joelene Booth,23,Sydney,Hair Stylist,1,1,7.0
Nikki Quinlan,23,"Coolum Beach, Queensland",Professional Skateboarder,1,1,7.0
"Samantha ""Sam"" Frost",25,"Mornington Peninsula, Victoria",Financial Assistant,2,21,6.0
Lisa Hyde,27,"Noosa, Queensland",Fashion Designer,2,20,4.0
Louise Pillidge,26,"Thredbo, New South Wales",Event Manager,2,19,5.0
Jessica Jones,24,"Central Coast, New South Wales",Accounting Student,2,18,7.0
Zoe O'Brien,25,Melbourne,Pharmacist,2,16,6.0
Laurina Fleure,30,Melbourne,Entrepreneur,2,15,1.0
Chantal Hrynieweski,26,Melbourne,Interior Designer,2,14,5.0
Lauren Birdsall,27,Sydney,Dancer,2,13,4.0
Mary O'Neill,27,Sydney,Acting Student,2,12,4.0
Rachel Miley-Smith,27,Sydney,Medical Sales Representative,2,12,4.0
Amber Gelinas,26,"Calgary, Canada",Oil & Gas Consultant,2,11,5.0
Kara Bramham,24,Melbourne,Law Graduate,2,10,7.0
Anastasia,30,Sydney,Lawyer,2,9,1.0
Aley Greenblo,25,Sydney,Fashion Blogger,2,8,6.0
Tahnee Lee,24,Sydney,Social Media Coordinator,2,8,7.0
Alana Wilkie,26,"Perth, Western Australia",Legal Secretary,2,7,5.0
Anita Cusack,30,"Castlemaine, Victoria",Dog Groomer,2,6,1.0
Diana Dinu,28,"Brisbane, Queensland",I.T. Student,2,6,3.0
Katrina Burgoyne,26,"Newcastle, New South Wales",Musician,2,6,5.0
Lauren Smith,27,"Adelaide, South Australia",Flight Attendant,2,5,4.0
Shana Leggett,26,"Gold Coast, Queensland",Poker Dealer,2,4,5.0
Stacey-Louise,33,"Traralgon, Victoria",Fitness Trainer,2,4,2.0
Holly Pearce,23,Sydney,Professional Netballer,2,4,8.0
Amanda Hatcher,28,Sydney,Account Manager,2,3,3.0
Bridgette-Rose Taylor,24,"Brisbane, Queensland",Law Student,2,2,7.0
Tiarnar Tavita,31,"Newcastle, New South Wales",Model,2,2,0.0
Emma Foster,31,Melbourne,Interior Designer,2,1,0.0
Emma Levitt,28,"Perth, Western Australia",Make-Up Artist,2,1,3.0
Karla,31,Sydney,Nurse,2,1,0.0
Sam Aghan,25,"Perth, Western Australia",Administrative Assistant,2,1,6.0
Snezana Markoski,34,"Perth, Western Australia",Scientific Sales Rep,3,17,0.0
Lana Jeavons-Fellows,27,"Berowra, New South Wales",Communications Assistant,3,16,7.0
Sarah Mackay,25,"Mornington, Victoria",Event Manager,3,15,9.0
Heather Maltman,29,"Brisbane, Queensland",Filmmaker,3,14,5.0
Nina Rolleston,28,"Brisbane, Queensland",Wedding Planner,3,13,6.0
